frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
0,50.294238,18.673287,15.0,1,860,182,934,280,50.294273,18.673276,0.8544
1,50.294238,18.673287,15.0,1,860,182,934,280,50.294273,18.673276,0.8544
2,50.294238,18.673287,15.0,1,860,183,934,281,50.294273,18.673276,0.8588
3,50.294238,18.673287,15.0,1,858,186,936,285,50.294273,18.673276,0.8593
4,50.294238,18.673287,15.0,1,858,190,934,286,50.294272,18.673276,0.8569
5,50.294238,18.673287,15.0,1,858,192,934,290,50.294272,18.673276,0.8699
6,50.294238,18.673287,15.0,1,858,195,934,291,50.294272,18.673276,0.8724
7,50.294238,18.673287,15.0,1,858,198,934,294,50.294271,18.673276,0.8757
8,50.294238,18.673287,15.0,1,858,199,934,295,50.294271,18.673276,0.8711
9,50.294238,18.673287,15.0,1,858,202,934,299,50.294271,18.673276,0.8691
10,50.294238,18.673287,15.0,1,856,203,936,301,50.294271,18.673276,0.872
11,50.294238,18.673287,15.0,1,856,208,934,304,50.29427,18.673276,0.8717
12,50.294238,18.673287,15.0,1,856,211,934,307,50.29427,18.673276,0.8753
13,50.294238,18.673287,15.0,1,856,213,934,309,50.29427,18.673276,0.886
14,50.294238,18.673287,15.0,1,856,216,932,311,50.294269,18.673276,0.878
15,50.294238,18.673287,15.0,1,854,219,932,312,50.294269,18.673275,0.8794
16,50.294238,18.673287,15.0,1,854,220,932,315,50.294269,18.673275,0.8777
17,50.294238,18.673287,15.0,1,854,223,932,317,50.294269,18.673275,0.8731
18,50.294238,18.673287,15.0,1,854,227,932,320,50.294268,18.673275,0.8643
19,50.294238,18.673287,15.0,1,852,229,930,322,50.294268,18.673275,0.8681
20,50.294238,18.673287,15.0,1,852,232,930,325,50.294268,18.673275,0.8745
21,50.294238,18.673287,15.0,1,852,236,930,327,50.294267,18.673275,0.8745
22,50.294238,18.673287,15.0,1,852,237,930,329,50.294267,18.673275,0.8762
23,50.294238,18.673287,15.0,1,850,239,930,334,50.294267,18.673275,0.8748
24,50.294238,18.673287,15.0,1,850,243,930,335,50.294267,18.673275,0.8717
25,50.294238,18.673287,15.0,1,850,245,928,339,50.294266,18.673275,0.8671
26,50.294238,18.673287,15.0,1,848,249,926,342,50.294266,18.673274,0.8683
27,50.294238,18.673287,15.0,1,848,252,926,344,50.294266,18.673274,0.8746
28,50.294238,18.673287,15.0,1,848,254,926,346,50.294265,18.673274,0.8586
28,50.294238,18.673287,15.0,2,548,886,620,985,50.294193,18.673222,0.6301
29,50.294238,18.673287,15.0,1,848,256,926,348,50.294265,18.673274,0.863
30,50.294239,18.673289,15.0,1,846,259,926,353,50.294266,18.673276,0.8506
31,50.294239,18.673289,15.0,1,848,262,924,353,50.294265,18.673276,0.8429
31,50.294239,18.673289,15.0,2,550,900,620,994,50.294193,18.673225,0.6886
32,50.294239,18.673289,15.0,1,848,265,924,357,50.294265,18.673276,0.8441
33,50.294239,18.673289,15.0,1,846,267,922,361,50.294265,18.673276,0.8359
34,50.294239,18.673289,15.0,1,846,272,922,362,50.294264,18.673276,0.8349
35,50.294239,18.673289,15.0,1,844,274,922,364,50.294264,18.673276,0.8195
36,50.294239,18.673289,15.0,1,842,275,922,367,50.294264,18.673276,0.8233
37,50.294239,18.673289,15.0,1,842,280,922,370,50.294263,18.673276,0.8343
38,50.294239,18.673289,15.0,1,842,283,920,373,50.294263,18.673275,0.8418
38,50.294239,18.673289,15.0,2,552,923,626,1018,50.29419,18.673225,0.6904
39,50.294239,18.673289,15.0,1,842,286,920,376,50.294263,18.673275,0.8255
